,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
42,2019-12-02,EQ,212.0,213.7,206.05,214.9,208.35,209.0,209.63,221.5,113.0,3169460,664413185.2,20785,ADANIENT
43,2019-11-29,EQ,212.4,221.5,211.7,213.1,213.6,214.9,217.45,221.5,113.0,7969827,1733065586.1,50943,ADANIENT
44,2019-11-28,EQ,212.8,216.2,210.5,213.55,211.95,213.1,213.89,217.7,113.0,4234343,905687060.75,39098,ADANIENT
45,2019-11-27,EQ,209.9,215.2,208.5,210.6,212.0,213.55,212.69,217.7,113.0,4051404,861702880.5,25843,ADANIENT
46,2019-11-26,EQ,214.75,217.7,207.15,215.2,210.0,210.6,211.75,217.7,113.0,5247790,1111216465.4,33673,ADANIENT
47,2019-11-25,EQ,201.9,216.25,201.6,203.45,215.5,215.2,211.2,216.25,113.0,6805228,1437242094.75,39031,ADANIENT
48,2019-11-22,EQ,204.75,206.3,200.1,205.5,202.0,203.45,203.24,212.25,113.0,2545651,517367034.15,16109,ADANIENT
49,2019-11-21,EQ,206.9,209.0,201.95,205.7,204.45,205.5,206.17,212.25,113.0,4409698,909161105.9,24824,ADANIENT
50,2019-11-20,EQ,198.5,207.45,198.1,199.7,204.4,205.7,203.66,212.25,113.0,3488019,710357907.8,21164,ADANIENT
51,2019-11-19,EQ,202.0,202.6,196.25,201.15,198.45,199.7,199.77,212.25,113.0,2954848,590302461.1,19218,ADANIENT
52,2019-11-18,EQ,203.8,205.6,200.1,203.6,200.15,201.15,203.22,212.25,113.0,2041767,414918973.95,13388,ADANIENT
53,2019-11-15,EQ,202.0,205.0,200.8,202.3,203.1,203.6,203.43,212.25,113.0,3314555,674275624.0,19200,ADANIENT
54,2019-11-14,EQ,196.25,203.15,194.05,198.2,201.6,202.3,200.54,212.25,113.0,4141184,830455493.8,28224,ADANIENT
55,2019-11-13,EQ,209.0,210.75,194.3,210.85,197.5,198.2,199.61,212.25,113.0,9836594,1963502356.15,63382,ADANIENT
56,2019-11-11,EQ,206.95,212.25,206.05,208.05,210.8,210.85,209.85,212.25,113.0,2907157,610068301.9,20360,ADANIENT
57,2019-11-08,EQ,208.7,212.0,206.2,209.15,207.25,208.05,209.64,212.0,113.0,4057743,850681983.5,23951,ADANIENT
58,2019-11-07,EQ,207.9,210.4,205.5,207.55,209.25,209.15,208.35,210.4,113.0,3959490,824965103.6,26887,ADANIENT
59,2019-11-06,EQ,199.0,209.7,198.6,200.55,207.2,207.55,205.94,209.7,113.0,6220311,1281001743.45,38205,ADANIENT
60,2019-11-05,EQ,200.0,201.5,197.7,200.9,200.0,200.55,199.69,203.9,113.0,2326138,464497562.1,16451,ADANIENT
61,2019-11-04,EQ,200.95,203.9,198.25,200.45,199.5,200.9,201.05,203.9,113.0,3965499,797281263.35,21529,ADANIENT
62,2019-11-01,EQ,199.0,202.4,196.2,199.65,199.85,200.45,199.4,202.4,113.0,3522957,702469075.2,20646,ADANIENT
63,2019-10-31,EQ,196.7,201.3,196.0,195.75,197.45,199.65,198.79,201.3,113.0,6584768,1308967220.75,36959,ADANIENT
64,2019-10-30,EQ,194.35,197.45,192.3,195.55,194.9,195.75,195.0,197.45,113.0,4791525,934371232.95,35683,ADANIENT
65,2019-10-29,EQ,182.8,197.0,182.35,183.4,192.95,195.55,191.58,197.0,113.0,9534790,1826682713.7,48833,ADANIENT
66,2019-10-27,EQ,182.9,184.25,182.0,181.3,182.8,183.4,183.15,184.25,113.0,1003414,183774395.3,6284,ADANIENT
67,2019-10-25,EQ,179.5,183.7,177.2,179.0,180.65,181.3,181.1,183.7,113.0,7857185,1422963394.95,42181,ADANIENT
68,2019-10-24,EQ,175.0,180.0,174.3,176.45,179.5,179.0,177.27,180.8,113.0,4753708,842684897.95,26028,ADANIENT
69,2019-10-23,EQ,178.75,178.75,172.4,178.65,175.8,176.45,175.63,180.8,113.0,4743985,833179725.2,25735,ADANIENT
70,2019-10-22,EQ,174.5,180.0,173.4,175.1,178.4,178.65,177.84,180.8,113.0,7909839,1406654337.9,33677,ADANIENT
71,2019-10-18,EQ,174.9,175.8,165.1,162.55,174.2,175.1,171.54,180.8,113.0,14162661,2429532220.05,76434,ADANIENT
72,2019-10-17,EQ,159.8,165.0,157.65,160.15,163.0,162.55,161.14,180.8,113.0,6523046,1051138372.85,31817,ADANIENT
73,2019-10-16,EQ,155.0,160.9,155.0,155.0,159.85,160.15,158.27,180.8,113.0,9587304,1517415199.1,59372,ADANIENT
74,2019-10-15,EQ,147.7,155.85,146.6,147.1,154.9,155.0,152.42,180.8,113.0,11048872,1684046273.75,62824,ADANIENT
