DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2019-04-01,EQ,321.8,327.65,321.05,320.75,321.4,322.75,324.12,339.65,232.5,22372357,7251367799.35,152113,SBIN
2019-03-29,EQ,321.1,323.0,316.25,319.0,320.55,320.75,319.43,339.65,232.5,30394717,9709065880.85,195107,SBIN
2019-03-28,EQ,310.1,339.65,309.05,308.8,319.2,319.0,315.18,339.65,232.5,63244736,19933755213.15,269672,SBIN
2019-03-27,EQ,305.25,310.85,304.35,303.5,308.0,308.8,308.12,326.4,232.5,35956450,11078728784.15,237634,SBIN
2019-03-26,EQ,294.75,305.0,294.75,294.0,304.8,303.5,299.7,326.4,232.5,18303791,5485556948.2,106963,SBIN
2019-03-25,EQ,294.0,295.45,292.2,298.05,293.95,294.0,293.78,326.4,232.5,16895511,4963634134.35,82455,SBIN
2019-03-22,EQ,304.3,306.4,296.95,303.8,297.9,298.05,302.13,326.4,232.35,17865957,5397823115.05,114776,SBIN
2019-03-20,EQ,302.8,304.65,300.05,303.05,304.05,303.8,302.61,326.4,232.35,18820555,5695199921.7,129192,SBIN
2019-03-19,EQ,300.15,306.6,299.15,298.95,302.75,303.05,303.41,326.4,232.35,27218691,8258345809.15,192468,SBIN
2019-03-18,EQ,298.9,300.9,294.65,298.4,299.3,298.95,297.45,326.4,232.35,23782967,7074133423.8,135389,SBIN
2019-03-15,EQ,292.6,301.3,292.5,291.9,297.8,298.4,298.17,326.4,232.35,37928480,11309110533.6,195292,SBIN
2019-03-14,EQ,294.5,294.7,290.75,293.15,292.1,291.9,292.34,326.4,232.35,16164017,4725414640.05,121789,SBIN
2019-03-13,EQ,288.1,294.4,284.7,286.9,293.85,293.15,288.93,326.4,232.35,23725641,6855125625.05,129887,SBIN
2019-03-12,EQ,289.2,289.9,285.75,287.35,287.3,286.9,287.68,326.4,232.35,20828136,5991831530.15,152809,SBIN
2019-03-11,EQ,285.3,289.0,283.5,281.2,286.95,287.35,287.26,326.4,232.35,22931245,6587152217.7,133900,SBIN
2019-03-08,EQ,281.85,284.25,279.6,281.75,281.5,281.2,282.38,326.4,232.35,19943319,5631654413.05,132214,SBIN
2019-03-07,EQ,279.45,282.5,277.65,278.1,281.95,281.75,280.16,326.4,232.35,14899105,4174201073.45,100561,SBIN
2019-03-06,EQ,277.3,282.55,276.45,276.45,278.1,278.1,279.31,326.4,232.35,22161376,6189988985.5,135192,SBIN
2019-03-05,EQ,271.7,277.85,271.2,272.95,275.95,276.45,275.82,326.4,232.35,21533972,5939426809.2,181828,SBIN
2019-03-01,EQ,270.55,274.6,270.1,269.05,272.85,272.95,272.87,326.4,232.35,20024726,5464233269.5,103387,SBIN
2019-02-28,EQ,267.7,270.8,267.65,267.65,269.15,269.05,269.19,326.4,232.35,31636468,8516219467.45,140073,SBIN
2019-02-27,EQ,268.0,272.7,266.55,266.35,267.6,267.65,269.18,326.4,232.35,20571652,5537482706.2,162785,SBIN
2019-02-26,EQ,266.8,268.2,263.25,270.15,266.15,266.35,265.93,326.4,232.35,15274303,4061864344.15,113275,SBIN
2019-02-25,EQ,271.3,271.4,267.9,270.95,270.15,270.15,269.49,326.4,232.35,20793897,5603778273.2,179172,SBIN
